"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Dominican Republic","DOM","Number of infant deaths","SH.DTH.IMRT","17132","17321","17430","17455","17396","17279","17175","16992","16659","16340","16087","15810","15493","15143","14700","14204","13792","13410","13035","12706","12385","12056","11753","11546","11337","11044","10766","10541","10367","10234","10018","9722","9388","9048","8697","8311","7926","7541","7170","6926","6802","6655","6492","6360","6242","6128","6002","5933","5990","6104","6177","6197","6185","6174","6165","6164","6148","6122","6079","5973","5796","5620","5456","",
"Algeria","DZA","Number of infant deaths","SH.DTH.IMRT","78135","79646","81125","82549","83970","85180","86105","87218","88511","89638","90476","90812","90606","90086","89435","88563","88191","88137","86863","84521","81919","77944","71889","64436","56797","50155","44489","40160","37241","35321","33926","33123","32954","32518","31531","29531","26929","24729","22975","21848","21211","20595","20028","19756","19735","19747","19776","19921","20158","20377","20534","20692","21025","21236","21357","21545","21532","21292","20798","20109","19292","18384","17426","",
"East Asia & Pacific (excluding high income)","EAP","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1825659","1702935","1521225","1426081","1348161","1290221","1216535","1144064","1074085","1008560","963213","908149","843036","777693","741336","692014","656934","627957","614133","575645","545925","516577","499142","475993","449339","423244","401301","385898","359418","333529","311596","290093","275962","",
"Early-demographic dividend","EAR","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4992770","4888752","4793545","4683464","4604971","4460778","4338711","4224907","4112442","3989609","3877651","3778642","3668344","3537114","3419472","3284720","3159015","3050133","2960651","2842563","2740313","2630912","2532155","2429613","2314223","2206794","2117903","2025968","1942526","1861547","1778645","1709126","1648085","",
"East Asia & Pacific","EAS","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1843447","1720000","1537561","1441442","1362600","1303766","1229157","1155867","1085071","1018772","972838","917114","851268","785384","748605","698897","663557","634484","620500","581729","551770","522250","504592","481225","454320","428048","405918","390229","363481","337359","315229","293609","279392","",
"Europe & Central Asia (excluding high income)","ECA","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","219960","213800","208230","200437","191702","183049","173063","161908","150405","138873","128076","119637","111225","102985","97342","93045","89321","86387","83675","80709","76823","72826","69575","66918","64700","62368","59451","56050","53197","50907","48628","46243","43782","",
"Europe & Central Asia","ECS","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","314922","301614","289124","274856","261097","248301","234510","220136","205698","191354","178410","168293","158293","148774","141699","135491","129941","125910","122747","119180","114334","109203","105012","101232","97668","93959","89454","84001","78997","74879","71058","67635","64441","",
"Ecuador","ECU","Number of infant deaths","SH.DTH.IMRT","23487","23488","23519","23483","23457","23487","23456","23485","23564","23617","23563","23363","23076","22651","22078","21437","20797","20209","19643","19104","18562","17992","17375","16764","16157","15583","15048","14545","14042","13562","13081","12594","12087","11560","11020","10463","9899","9344","8822","8340","7888","7482","7141","6839","6572","6330","6111","5901","5693","5486","5280","5088","4851","4545","4258","4022","3832","3694","3582","3468","3353","3233","3119","",
"Egypt, Arab Rep.","EGY","Number of infant deaths","SH.DTH.IMRT","262443","256739","251646","247020","242618","237493","234222","232611","231318","230877","230611","230502","230237","227885","224523","221590","217441","212282","207346","202798","196847","188737","180909","173810","165267","156135","147642","140038","133162","126204","119010","112422","107715","102936","96985","91301","86002","81420","77810","74383","70939","68126","65511","63220","61150","59472","58157","57162","56256","55279","55223","55250","55126","55251","54853","53740","50635","47302","45412","43174","41130","39547","38026","",
"Euro area","EMU","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29369","27835","25987","23993","21888","20183","19028","18168","17316","16578","16052","15380","14620","14055","13638","13232","12866","12583","12418","12158","11808","11446","11061","10719","10532","10442","10358","10199","9896","9583","9282","9062","8886","",
"Eritrea","ERI","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","8105","8147","8182","8221","8271","8360","8475","8597","8714","8789","8812","8821","8795","8758","8659","8464","8194","7318","6470","6308","6107","6188","6137","5682","5309","5038","4820","4747","4719","4741","4749","4635","4466","4294","4217","4135","4026","3912","3776","3657","3509","3356","3237","3136","3074","3018","2961","2911","",
