"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Sao Tome and Principe","STP","Number of infant deaths","SH.DTH.IMRT","","","","","","","167","162","160","161","164","169","175","179","184","190","197","205","214","223","230","238","245","253","263","273","300","295","306","318","328","337","343","346","346","343","338","331","322","314","304","295","283","270","258","246","233","221","209","197","185","174","163","150","136","123","110","99","90","83","78","74","72","",
"Suriname","SUR","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","556","546","537","526","514","501","489","472","452","432","410","389","372","356","341","327","315","306","297","288","279","270","261","253","244","237","229","223","217","211","206","201","196","190","185","180","175","170","165","",
"Slovak Republic","SVK","Number of infant deaths","SH.DTH.IMRT","2737","2565","2390","2315","2296","2221","2126","2021","1941","1952","1997","2039","2114","2209","2291","2296","2259","2204","2126","2046","1911","1771","1677","1597","1509","1418","1318","1212","1130","1058","1002","956","888","821","739","647","586","547","510","475","447","414","387","379","378","374","362","348","344","350","347","336","317","297","291","287","288","289","286","282","276","269","263","",
"Slovenia","SVN","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","428","391","353","324","298","274","253","226","200","180","160","143","131","120","110","101","93","86","82","77","72","68","65","63","62","61","62","62","59","57","54","50","48","46","44","42","41","39","38","36","36","",
"Sweden","SWE","Number of infant deaths","SH.DTH.IMRT","1666","1632","1629","1640","1680","1671","1607","1536","1422","1296","1234","1218","1172","1090","1022","939","842","774","724","698","686","659","629","610","606","620","637","650","672","691","700","683","631","566","496","428","372","334","313","304","303","305","308","312","308","300","295","291","286","282","283","279","273","272","271","270","268","262","254","247","239","233","230","",
"Eswatini","SWZ","Number of infant deaths","SH.DTH.IMRT","2225","2243","2259","2280","2295","2305","2324","2338","2356","2388","2415","2436","2440","2428","2428","2428","2410","2385","2351","2318","2284","2243","2183","2300","2060","2001","1931","1870","1818","1804","1786","1785","1843","1927","2012","2030","2028","2087","2141","2197","2262","2305","2325","2352","2360","2369","2067","2096","2180","2078","1945","1783","1739","1692","1697","1562","1471","1473","1335","1269","1263","1172","1129","",
"Sint Maarten (Dutch part)","SXM","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Seychelles","SYC","Number of infant deaths","SH.DTH.IMRT","116","119","121","123","124","124","122","119","115","110","103","97","91","85","80","75","66","56","53","49","45","41","35","31","30","29","27","26","25","24","23","22","21","21","21","20","19","18","17","17","17","17","17","17","17","18","18","19","20","20","20","20","21","21","20","21","22","22","22","22","21","21","20","",
"Syrian Arab Republic","SYR","Number of infant deaths","SH.DTH.IMRT","24330","23796","23369","23075","22846","22685","22532","22331","22076","21852","21624","21239","20807","20411","20026","19697","19409","19126","18757","18290","17777","18189","19276","16169","15795","15471","15166","14819","14390","13867","13364","12842","12384","12080","11822","11473","11071","10657","10283","9977","9717","9609","9554","9466","9433","9455","9504","9874","10564","10718","10484","11559","16309","16618","13948","11412","8714","8683","8985","7339","7258","7518","7771","",
"Turks and Caicos Islands","TCA","Number of infant deaths","SH.DTH.IMRT","","","","","","","","14","13","12","10","9","8","8","8","8","7","7","7","6","6","6","6","6","6","6","5","5","5","5","5","5","4","4","4","4","4","4","4","3","3","3","3","3","3","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","",
"Chad","TCD","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","23908","24290","24642","24990","25262","25456","25637","26014","25341","24830","26887","28932","28786","28495","29496","30924","32085","33034","33524","34762","36361","36358","36338","37983","39355","39972","40546","41044","41602","41934","42294","43357","44770","45617","46146","46519","46829","47322","47679","48011","48215","48447","48599","48286","47899","47725","47911","48043","47942","47919","",
"East Asia & Pacific (IDA & IBRD countries)","TEA","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1812274","1687639","1506012","1411040","1333341","1260944","1188096","1116676","1047631","982927","938613","884563","820701","767815","731897","682965","648224","619370","605759","567511","538471","509778","492691","469835","443426","417553","395778","380678","354390","328729","307010","285731","271344","",
"Europe & Central Asia (IDA & IBRD countries)","TEC","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","274692","263423","253473","241982","231067","220622","208490","195336","182008","168631","156437","147203","138126","129221","122559","116807","111664","107930","104980","101804","97465","92849","89186","85913","82673","79095","74706","69501","64953","61304","57956","54876","51931","",
"Togo","TGO","Number of infant deaths","SH.DTH.IMRT","11644","11746","11862","11986","12077","12177","12348","12564","12812","13116","13395","13604","13758","13855","13915","13949","13960","13940","13872","13779","13694","13674","13687","13729","13809","13892","13981","14086","14189","14277","14385","14506","14607","14672","14198","13862","14044","14129","14189","14259","14280","14258","14225","14139","13999","13903","13903","13991","14032","14005","13992","13832","13539","13276","13060","12868","12710","12538","12345","12141","11952","11764","11577","",
"Thailand","THA","Number of infant deaths","SH.DTH.IMRT","115029","114384","113850","113174","111972","110135","107933","105351","102391","98891","94855","90672","86476","82111","77654","73342","69064","64934","61370","58606","56680","54518","51449","48210","45346","42845","40624","38398","36190","34494","32907","31257","29768","28197","26493","24713","23176","21719","19843","17628","15736","14496","13568","12813","12156","11568","10939","10297","9759","9221","8751","8417","8087","7633","7149","6704","6281","5904","5566","5225","4924","4667","4432","",
"Tajikistan","TJK","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","14630","14484","14470","14524","14663","14938","15323","15751","16170","16533","16873","17137","17239","17277","17263","17342","17613","18031","18571","19069","19243","19179","18824","17845","16667","15673","14553","13370","12378","11450","10536","9780","9203","8768","8514","8417","8461","8554","8599","8581","8583","8623","8602","8418","8072","7817","7683","7463","7189","6920","",
"Turkmenistan","TKM","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","9321","9207","9089","8984","8906","8899","8953","9030","9096","9065","8884","8627","8335","8130","8111","8144","8076","7902","7653","7334","6966","6580","6186","5772","5368","5081","4877","4731","4634","4585","4595","4680","4815","4974","5139","5286","5412","5483","5512","5488","5403","5266","5093","4914","4705","",
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512163","491851","470924","450495","430482","410207","389699","369238","352482","331859","314270","297203","280740","264969","251501","239854","228561","217863","208273","200167","199285","186683","180490","174401","169222","164866","165054","156480","151835","145860","139393","133680","128836","",
"Timor-Leste","TLS","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","4465","4362","4262","4179","4101","4008","3895","3769","3643","3523","3403","3283","3171","3064","2963","2876","2799","2704","2593","2477","2359","2255","2157","2074","1998","1933","1875","1821","1770","1713","1651","1595","1540","1485","1443","1402","1362","",
"Middle East & North Africa (IDA & IBRD countries)","TMN","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","401050","386866","374305","359279","340909","321958","303587","288112","276297","266149","256904","248392","240199","233146","227263","222060","217591","213667","209823","206607","204832","205332","208946","207954","203815","198707","189179","181909","176746","168024","160653","156263","150288","",
"Tonga","TON","Number of infant deaths","SH.DTH.IMRT","","","","","176","169","162","155","147","135","125","115","107","101","97","93","91","89","87","86","84","82","80","77","74","71","68","64","61","59","58","56","54","53","51","49","48","46","45","44","43","41","41","41","40","39","38","37","36","35","34","33","32","31","30","29","28","27","26","25","24","24","23","",
"South Asia (IDA & IBRD)","TSA","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3342236","3275247","3216096","3153380","3099185","3044930","2978070","2909197","2840681","2767844","2701472","2642642","2571223","2484848","2399169","2302002","2203616","2120361","2042144","1967132","1890879","1811656","1732870","1654514","1563920","1479134","1413045","1343235","1278222","1216966","1154029","1103608","1062414","",
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2384549","2408984","2433187","2458303","2507130","2497728","2513940","2514105","2501865","2491297","2478453","2455544","2427344","2393734","2358947","2328166","2302184","2274433","2249706","2226467","2203037","2180570","2157316","2133490","2116403","2102195","2086711","2070944","2054760","2039684","2022466","2003165","1982069","",
"Trinidad and Tobago","TTO","Number of infant deaths","SH.DTH.IMRT","1743","1726","1687","1627","1554","1474","1386","1305","1250","1192","1151","1157","1181","1184","1157","1127","1110","1107","1111","1122","1125","1125","1112","1079","1031","990","953","899","835","771","712","667","633","601","571","544","522","507","498","496","495","493","488","481","472","463","459","454","445","430","415","403","391","377","361","344","329","312","295","285","272","255","242","",
"Tunisia","TUN","Number of infant deaths","SH.DTH.IMRT","","","","34272","33005","31975","30859","29525","28143","26713","25350","24122","23068","22213","21424","20614","19791","18782","17546","16368","15400","14755","14242","13675","13181","12710","12197","11562","10816","10057","9500","9077","8581","8045","7467","6827","6174","5564","5012","4509","4124","3837","3600","3437","3318","3215","3131","3074","3057","3075","3138","3247","3341","3380","3381","3332","3225","3063","2841","2590","2341","2112","1918","",
"Turkiye","TUR","Number of infant deaths","SH.DTH.IMRT","202316","200049","196390","191631","186722","182120","177581","171773","168572","168119","167753","167885","166739","164167","160471","155047","148933","143323","138987","135054","130043","124286","118033","111954","106630","101441","96519","91608","86956","82665","77902","73553","69295","65521","62560","59315","56500","53394","49823","46218","42445","39722","36121","32050","29596","27907","26343","24656","22915","21378","19944","18754","17825","17106","16604","16146","15538","14806","13782","12570","11561","10804","10226","",
"Tuvalu","TUV","Number of infant deaths","SH.DTH.IMRT","23","21","19","17","15","13","13","13","13","13","13","12","12","11","10","10","10","10","11","11","12","12","12","12","13","13","13","13","13","13","13","13","12","12","12","11","11","10","10","9","9","8","8","8","7","7","7","7","6","6","6","6","6","6","5","5","5","5","5","5","5","5","5","",
"Tanzania","TZA","Number of infant deaths","SH.DTH.IMRT","68113","69776","71435","72982","74413","75687","76953","78099","79357","80963","82854","84766","86467","88019","89753","91264","92317","93357","94575","95759","97192","98961","101233","103923","106295","108115","109562","110689","111764","112545","112874","113333","113920","114376","115538","117503","118642","117688","115959","113612","110477","107197","103301","99439","96421","93613","91273","87627","85323","82530","80618","78517","76798","76606","77369","77831","77199","75742","74089","72953","71568","70540","69515","",
"Uganda","UGA","Number of infant deaths","SH.DTH.IMRT","47343","47585","48015","48526","49198","50036","51070","52174","53415","54703","56195","57985","59859","61744","63915","66824","70030","73169","76196","79109","81665","82854","83022","82856","83184","84445","86294","88411","90429","92019","93278","94162","95117","96392","97729","99510","100396","100706","100764","100207","99136","97180","94413","90885","87105","83245","79451","75907","72515","70401","68028","65649","62792","60939","59024","57234","55447","54118","53201","52705","52158","51641","51010","",
"Ukraine","UKR","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","19353","18552","17984","17711","17404","17029","16799","16749","16468","16117","16135","16176","15549","14728","14112","13500","12827","11946","11118","10812","10662","10334","9853","9069","8339","7819","7254","6601","6069","5710","5505","5462","5443","5343","5337","5388","5444","5415","5109","4823","4679","4468","4192","3950","3688","3341","2986","2684","2471","2372","2323","",
"Upper middle income","UMC","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2218067","2069584","1866700","1751961","1657965","1571677","1483416","1394360","1307723","1225819","1164411","1094471","1014841","948572","905611","851855","810539","773108","738764","703820","665523","633142","611574","583028","552108","520726","494288","468019","436219","405057","377077","350311","332153","",
"Uruguay","URY","Number of infant deaths","SH.DTH.IMRT","3102","3078","3042","3007","2967","2923","2889","2849","2798","2730","2635","2612","2675","2748","2862","2966","2954","2784","2530","2245","1949","1726","1578","1466","1390","1344","1300","1235","1199","1189","1150","1121","1110","1088","1068","1042","993","935","872","817","773","739","719","694","658","622","581","535","496","465","441","423","409","396","380","364","342","306","268","238","216","205","200","",
"United States","USA","Number of infant deaths","SH.DTH.IMRT","102890","101205","98458","94790","91276","85621","79261","74756","71628","70175","70280","67257","60180","54189","50978","48606","46341","45385","44545","43825","43722","42801","41676","40522","39428","39035","38546","38020","38025","38267","38330","37391","35739","34060","32474","31075","29981","29211","28794","28614","28646","28500","28075","27994","28010","27935","28111","28237","27741","26706","25518","24569","24008","23595","23341","23126","22707","22077","21389","20842","20272","19995","19920","",
"Uzbekistan","UZB","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","49767","47730","45909","44564","43815","43236","42686","41767","40404","39480","39705","40424","40483","39964","39207","38339","37040","35057","32653","30332","28498","27027","25682","24043","22588","21429","20450","19936","19427","18563","17245","15768","14577","13790","13233","12651","11950","11253","11015","10942","10735","10192","9383","",
"St. Vincent and the Grenadines","VCT","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","168","178","186","193","196","194","187","175","163","150","136","122","113","102","90","79","71","64","59","56","53","52","51","51","50","49","48","47","46","45","44","43","42","40","39","38","37","37","37","37","35","33","32","30","28","26","24","21","19","17","15","14","13","",
"Venezuela, RB","VEN","Number of infant deaths","SH.DTH.IMRT","21367","21092","20957","20889","20836","20796","20779","20752","20669","20527","20311","20027","19745","19526","19331","19154","18977","18747","18459","18120","17735","17303","16867","16462","16132","15825","15612","15348","14933","14457","13991","13589","13268","13026","12836","12610","12279","11866","11423","11014","10653","10372","10158","9933","9663","9399","9154","8943","8805","8753","8766","8814","8894","9023","9181","9713","12363","12203","11779","10977","10160","9684","9392","",
"British Virgin Islands","VGB","Number of infant deaths","SH.DTH.IMRT","18","17","15","14","13","12","11","10","10","9","9","8","8","8","8","8","8","8","8","8","8","7","7","6","6","6","5","5","5","4","4","5","5","5","4","4","4","5","4","4","4","4","3","3","3","4","3","4","4","4","4","4","4","3","4","4","3","3","3","3","3","3","3","",
"Virgin Islands (U.S.)","VIR","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Viet Nam","VNM","Number of infant deaths","SH.DTH.IMRT","","","","","","78695","76840","75478","76337","77765","78541","80111","82238","84359","84078","82622","82079","81750","81920","82370","82365","82701","83167","83128","82644","81620","80141","78061","75548","72957","70266","67344","63851","59614","54845","49460","44322","40198","37067","34749","33348","32352","31560","30740","29918","29095","28056","27491","27450","27335","27089","27005","27145","27350","27305","27034","26597","26060","25619","25254","24844","24227","23498","",
"Vanuatu","VUT","Number of infant deaths","SH.DTH.IMRT","292","292","292","291","288","286","284","282","278","275","272","268","264","261","257","253","249","245","241","236","230","224","217","210","203","196","190","184","178","173","169","166","164","161","159","156","155","153","153","152","152","153","154","155","156","157","157","159","160","160","161","161","161","160","160","160","159","159","157","155","152","150","147","",
"World","WLD","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8869350","8652676","8385827","8199194","8059810","7882560","7702313","7508147","7312225","7116391","6950703","6776585","6575223","6356099","6171622","5970081","5788775","5630039","5495913","5342796","5204241","5054539","4927108","4789825","4641785","4502563","4384107","4260488","4136699","4014557","3893719","3788127","3697047","",
"Samoa","WSM","Number of infant deaths","SH.DTH.IMRT","410","402","393","384","415","365","355","345","334","324","313","300","287","274","262","252","241","229","218","210","201","193","186","180","174","168","161","155","149","143","138","133","129","127","125","122","119","116","112","108","104","100","97","94","92","91","91","91","92","107","97","98","99","98","97","96","94","93","91","94","87","85","83","",
"Kosovo","XKX","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","6135","5537","5240","4992","4647","4364","3736","3209","2947","2768","2644","2499","2359","1961","1461","1228","1118","980","920","933","872","782","741","706","652","547","463","447","399","329","284","255","231","204","183","169","160","",
"Yemen, Rep.","YEM","Number of infant deaths","SH.DTH.IMRT","","","","","","84749","84374","83720","82614","81080","79725","78629","77660","76614","75454","74516","73407","72010","70306","68904","67651","65888","64146","62597","61199","60142","59401","58815","58443","58157","58022","58037","58152","58290","58163","57613","55782","54012","52841","51628","50207","48195","46312","44918","43703","42439","41402","40353","39235","38295","37510","37003","36710","36298","36196","36689","36236","35800","35984","35637","34566","34824","33177","",
"South Africa","ZAF","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","80650","77695","74543","71725","69588","67890","66141","65211","64940","65026","65435","66234","66533","65184","62827","59806","57462","55812","54369","53643","53316","52709","51002","49136","48601","48154","47333","47356","47812","49586","52115","53253","52786","51348","47199","40991","38509","37432","36868","36283","35334","34095","33369","33797","34398","33943","32846","32164","",
"Zambia","ZMB","Number of infant deaths","SH.DTH.IMRT","18265","18601","18952","19319","19708","20156","20657","21187","21721","22176","22509","22593","22543","22488","22471","22676","23092","23636","24262","24902","25537","26279","27338","28613","30091","31718","33372","34891","36204","37397","38353","39175","39874","40343","40608","40739","40786","40820","40845","40773","40157","38688","36733","34816","32806","31133","30204","30036","29478","29207","28901","28872","28800","28416","28170","28551","27907","27425","27484","27130","26668","26416","26231","",
"Zimbabwe","ZWE","Number of infant deaths","SH.DTH.IMRT","16242","16324","16346","16361","16358","16375","16406","16481","16644","16901","17259","17694","18221","18899","19638","20365","21049","21616","22005","21972","21824","22447","22740","22049","21033","19924","19046","18478","18064","17827","17935","18325","18825","19224","19434","19783","20150","20573","20873","21086","21293","21485","21647","21762","22252","22563","23258","23911","24388","24893","24625","24446","22663","21902","20924","20178","19274","18727","18129","17772","17561","17182","16872","",
